title,platform,category,tags,heat,playCount,influenceIndex,rank,rankChange,source,sourceAuth,collectedAt,firstSeenDays,sentiment,opportunity,related,videos,risks
"像素风独立游戏治愈破防","抖音","游戏","独立游戏|治愈|像素风|亲情",70100,190000000,70320,28,8,"默认专区数据源","内部可用","2026-07-05T10:35:00+08:00",8,"小体量但长尾好，用户在亲情、遗憾和自我和解上共鸣。","可改成低成本治愈短剧，主角在游戏里补完与家人的最后一次告别。","像素治愈|亲情遗憾|独立游戏","实况剪辑|结局破防|配乐二创","商业爆发不足"
"反派妈妈重回女儿十七岁","抖音","家庭伦理","母女|重生|和解|女性情感",87300,510000000,86900,9,16,"默认专区数据源","内部可用","2026-07-05T10:38:00+08:00",2,"母女关系冲突强，观众既想看弥补遗憾，也想看女儿拒绝道德绑架。","可做女性亲情短剧：母亲重生后改写女儿命运，但必须先学会尊重边界。","母女和解|重生弥补|亲情边界","情绪片段|评论投稿|亲情混剪","家庭议题尺度"
"赛博修仙短剧设定出圈","抖音","二次元","赛博修仙|国风科幻|设定党|升级流",88900,540000000,88700,10,23,"默认专区数据源","内部可用","2026-07-05T11:10:00+08:00",1,"用户对国风修仙和赛博视觉混搭接受度高，设定讨论多于角色讨论。","可做低成本概念短剧：底层维修工发现灵气其实是城市能源权限。","赛博国风|灵气复苏|底层逆袭","设定解析|概念混剪|AI视觉二创","世界观解释成本|视觉成本"
"乙游男主觉醒拒绝剧情线","抖音","游戏","乙游|觉醒|反套路|女性向",83200,470000000,84600,14,20,"默认专区数据源","内部可用","2026-07-05T11:15:00+08:00",1,"女性用户喜欢纸片人角色获得主体性，讨论集中在陪伴感和被选择。","适合做甜虐奇幻短剧：女主发现恋爱游戏角色开始主动改写命运。","纸片人觉醒|恋爱游戏|命运改写","剧情剪辑|角色独白|玩家投稿","版权/IP|粉圈争议"
"剧中剧替身文学爆梗","抖音","影视","替身文学|剧中剧|虐恋|反转",86100,500000000,85200,12,12,"默认专区数据源","内部可用","2026-07-05T11:20:00+08:00",3,"替身文学讨论稳定，观众更期待替身主动离场和正主后悔。","可做娱乐圈短剧：替身演员用演技和真相反杀控制型男主。","替身离场|正主后悔|娱乐圈反杀","虐恋片段|台词混剪|剧情复盘","题材同质化|价值观风险"
"机器人管家学会撒谎","抖音","社会情绪","AI陪伴|家庭|谎言|治愈",78200,330000000,79600,21,19,"默认专区数据源","内部可用","2026-07-05T11:25:00+08:00",2,"评论集中在独居、陪伴和善意谎言，情绪温和但共鸣深。","可做轻科幻家庭短剧：机器人为了守护老人家庭开始隐瞒关键事实。","AI陪伴|善意谎言|家庭守护","情绪短片|评论故事|设定讨论","技术伦理|节奏偏慢"
"豪门保姆其实是集团审计","抖音","逆袭复仇","豪门|保姆|隐藏身份|审计",90200,620000000,89900,6,22,"默认专区数据源","内部可用","2026-07-05T11:30:00+08:00",1,"隐藏身份和阶层反转反馈强，适合密集打脸和财务真相揭露。","可做女频爽剧：女主伪装保姆进入豪门，查出丈夫家族侵吞母亲遗产。","隐藏身份|豪门审计|打脸反杀","爽点合集|身份反转|豪门冲突","职业准确性|法律风险"
"古早霸总被现代女主反向教育","抖音","恋爱婚姻","霸总|反套路|女性成长|喜剧",81400,390000000,82300,18,10,"默认专区数据源","内部可用","2026-07-05T11:35:00+08:00",4,"用户喜欢吐槽式改造古早男主，喜剧感强，争议相对低。","适合做轻喜短剧：女主穿进古早霸总文，用现代劳动法和边界感改写剧情。","古早文学|反套路恋爱|穿书","吐槽剪辑|台词二创|评论接龙","题材疲劳"
"小镇青年拍怪谈短片翻身","抖音","社会情绪","小镇青年|怪谈|短视频|逆袭",79900,430000000,80800,17,15,"默认专区数据源","内部可用","2026-07-05T11:40:00+08:00",2,"创作者逆袭和小镇怪谈结合，评论区有大量地方传闻投稿。","可做现实悬疑短剧：落魄导演拍摄本地怪谈，却发现传闻是真的。","小镇怪谈|草根逆袭|短视频团队","怪谈投稿|拍摄花絮|悬疑解说","恐怖尺度|地域刻板印象"
"动漫反派开局选择摆烂","抖音","动漫","反派|摆烂|系统|喜剧",77600,310000000,78900,24,14,"默认专区数据源","内部可用","2026-07-05T11:45:00+08:00",2,"摆烂反派和系统惩罚形成喜剧反差，年轻用户互动好。","可做反套路喜剧短剧：反派拒绝作恶后，系统反而不断奖励。","反派不干了|系统奖励|轻喜剧","整活剪辑|角色吐槽|设定二创","商业爆发不确定"
